HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,ZIP Code,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR,HAI_1_SIR_ComparedToNational_encode,HAI_2_SIR_ComparedToNational_encode,HAI_3_SIR_ComparedToNational_encode,HAI_4_SIR_ComparedToNational_encode,HAI_5_SIR_ComparedToNational_encode,HAI_6_SIR_ComparedToNational_encode
7846.0,8.086,6.0,0.742,13268.0,18.498,6.0,0.324,165.0,4.615,3.0,0.65,216.0,1.884,0.0,0.0,102765.0,7.305,4.0,0.548,102765.0,76.294,41.0,0.537,36301,87.0,90.0,91.0,84.0,80.0,90.0,82.0,88.0,86.0,90.0,60.0,88.0,,77.0,92.0,0.0,1.0,0.0,0.0,0.0,1.0
3088.0,1.988,0.0,0.0,7928.0,4.66,5.0,1.073,74.0,1.97,1.0,0.508,31.0,0.244,0.0,,40143.0,1.548,3.0,1.938,37697.0,12.386,7.0,0.565,35957,85.0,91.0,93.0,83.0,80.0,90.0,81.0,88.0,85.0,88.0,68.0,92.0,84.0,79.0,97.0,0.0,0.0,0.0,,0.0,0.0
5874.0,4.781,0.0,0.0,10270.0,8.992,2.0,0.222,90.0,2.439,2.0,0.82,64.0,0.57,0.0,,64819.0,4.588,3.0,0.654,62418.0,28.161,12.0,0.426,35630,86.0,90.0,92.0,78.0,76.0,84.0,80.0,86.0,87.0,87.0,33.0,76.0,,60.0,67.0,1.0,1.0,0.0,,0.0,1.0
180.0,0.11,0.0,,928.0,0.507,0.0,,7.0,0.205,0.0,,,,,,4783.0,0.099,0.0,,4783.0,1.84,0.0,0.0,36467,88.0,91.0,92.0,86.0,83.0,90.0,83.0,88.0,88.0,88.0,98.0,98.0,,100.0,100.0,,,,,,0.0
11015.0,11.88,5.0,0.421,11694.0,15.062,9.0,0.598,158.0,4.301,4.0,0.93,65.0,0.604,1.0,,82573.0,8.297,8.0,0.964,82573.0,107.744,37.0,0.343,35235,84.0,90.0,92.0,86.0,79.0,88.0,82.0,88.0,83.0,87.0,,,,,,1.0,0.0,0.0,,0.0,1.0
678.0,0.478,0.0,,2729.0,1.883,0.0,0.0,8.0,0.194,1.0,,29.0,0.298,0.0,,14041.0,0.446,0.0,,14041.0,5.166,1.0,0.194,35968,89.0,88.0,91.0,82.0,73.0,85.0,77.0,82.0,84.0,78.0,88.0,95.0,,92.0,99.0,,0.0,,,,1.0
6693.0,5.499,1.0,0.182,9486.0,8.402,3.0,0.357,156.0,4.318,0.0,0.0,69.0,0.655,0.0,,44995.0,2.964,1.0,0.337,44995.0,20.625,10.0,0.485,35007,84.0,89.0,91.0,84.0,78.0,86.0,81.0,87.0,82.0,87.0,74.0,93.0,95.0,82.0,97.0,1.0,1.0,1.0,,0.0,1.0
1669.0,1.155,3.0,2.597,4912.0,3.478,1.0,0.288,48.0,1.261,0.0,0.0,43.0,0.357,0.0,,28907.0,1.562,2.0,1.28,26660.0,11.43,7.0,0.612,35660,87.0,93.0,94.0,84.0,82.0,86.0,82.0,90.0,87.0,91.0,82.0,93.0,95.0,92.0,97.0,0.0,0.0,0.0,,0.0,0.0
453.0,0.282,0.0,,547.0,0.29,0.0,,10.0,0.253,1.0,,,,,,7887.0,0.178,0.0,,7311.0,2.239,1.0,0.447,36360,90.0,92.0,93.0,90.0,81.0,85.0,83.0,90.0,87.0,84.0,,,,,,,,,,,0.0
36.0,0.021,0.0,,135.0,0.066,0.0,,,,,,,,,,3761.0,0.088,0.0,,3761.0,1.041,0.0,0.0,35960,,,,,,,,,,,,,,,,,,,,,0.0
12400.0,14.691,12.0,0.817,16880.0,29.609,33.0,1.115,157.0,4.859,5.0,1.029,75.0,0.777,3.0,,88987.0,6.15,9.0,1.463,80840.0,54.628,45.0,0.824,36116,88.0,92.0,91.0,85.0,77.0,85.0,80.0,89.0,85.0,88.0,30.0,75.0,11.0,65.0,82.0,0.0,0.0,0.0,,0.0,0.0
8788.0,7.287,8.0,1.098,11491.0,9.971,11.0,1.103,178.0,4.984,1.0,0.201,76.0,0.714,0.0,,76656.0,5.426,8.0,1.474,73674.0,47.073,36.0,0.765,36106,85.0,90.0,92.0,87.0,80.0,85.0,80.0,89.0,86.0,90.0,60.0,83.0,59.0,83.0,91.0,0.0,0.0,1.0,,0.0,0.0
5514.0,4.471,0.0,0.0,7113.0,5.995,1.0,0.167,175.0,4.739,6.0,1.266,384.0,3.076,1.0,0.325,86426.0,5.083,2.0,0.393,81031.0,54.682,29.0,0.53,36801,86.0,93.0,94.0,86.0,80.0,86.0,82.0,90.0,89.0,90.0,73.0,93.0,76.0,86.0,94.0,1.0,1.0,0.0,0.0,0.0,1.0
42863.0,51.185,31.0,0.606,44357.0,86.963,40.0,0.46,733.0,23.263,13.0,0.559,825.0,8.265,7.0,0.847,340183.0,35.618,39.0,1.095,292920.0,230.237,105.0,0.456,35233,84.0,92.0,93.0,85.0,79.0,88.0,84.0,92.0,85.0,93.0,63.0,83.0,74.0,83.0,93.0,1.0,1.0,1.0,0.0,0.0,1.0
31.0,0.018,0.0,,502.0,0.247,0.0,,2.0,0.059,0.0,,,,,,6531.0,0.146,0.0,,6531.0,2.479,0.0,0.0,36078,86.0,90.0,91.0,87.0,86.0,84.0,81.0,86.0,84.0,83.0,,,,,,,,,,,0.0
3117.0,2.147,0.0,0.0,7583.0,5.373,3.0,0.558,46.0,1.22,1.0,0.82,37.0,0.326,0.0,,31346.0,1.377,1.0,0.726,29939.0,14.312,1.0,0.07,35058,87.0,90.0,91.0,83.0,79.0,82.0,79.0,86.0,89.0,83.0,91.0,98.0,95.0,96.0,97.0,0.0,0.0,0.0,,0.0,1.0
28.0,0.018,0.0,,2099.0,1.143,0.0,0.0,12.0,0.313,0.0,,2.0,0.02,0.0,,14434.0,0.532,1.0,,13480.0,4.88,2.0,0.41,36420,87.0,89.0,89.0,82.0,75.0,84.0,77.0,85.0,83.0,82.0,56.0,82.0,,79.0,97.0,,0.0,,,,0.0
884.0,0.576,1.0,,1822.0,1.089,1.0,0.918,11.0,0.321,0.0,,1.0,0.01,0.0,,11634.0,0.217,0.0,,11634.0,3.351,0.0,0.0,36201,86.0,91.0,92.0,81.0,77.0,86.0,81.0,87.0,90.0,86.0,57.0,88.0,,74.0,88.0,,0.0,,,,1.0
21188.0,24.144,20.0,0.828,25100.0,40.355,21.0,0.52,591.0,15.956,11.0,0.689,790.0,6.937,1.0,0.144,264215.0,20.662,27.0,1.307,236600.0,220.268,107.0,0.486,35801,88.0,92.0,92.0,85.0,78.0,86.0,82.0,90.0,86.0,91.0,45.0,79.0,97.0,71.0,70.0,0.0,1.0,0.0,1.0,0.0,1.0
6516.0,5.324,5.0,0.939,13031.0,12.823,2.0,0.156,126.0,3.345,0.0,0.0,40.0,0.361,0.0,,64498.0,4.221,4.0,0.948,64498.0,29.405,3.0,0.102,35903,86.0,91.0,90.0,81.0,75.0,86.0,80.0,86.0,85.0,85.0,59.0,84.0,98.0,79.0,83.0,0.0,1.0,1.0,,0.0,1.0
3612.0,2.492,1.0,0.401,5156.0,3.694,0.0,0.0,44.0,1.207,1.0,0.829,3.0,0.019,0.0,,24294.0,0.909,1.0,,24294.0,12.455,4.0,0.321,35901,89.0,91.0,90.0,86.0,75.0,86.0,80.0,87.0,83.0,88.0,81.0,93.0,,90.0,93.0,0.0,1.0,0.0,,,1.0
462.0,0.283,1.0,,1964.0,1.015,0.0,0.0,29.0,0.771,0.0,,107.0,0.978,2.0,,11081.0,0.427,1.0,,11056.0,3.559,3.0,0.843,36330,85.0,92.0,93.0,84.0,78.0,83.0,81.0,87.0,86.0,85.0,93.0,100.0,,93.0,100.0,,0.0,,,,0.0
5483.0,4.392,1.0,0.228,13329.0,12.104,10.0,0.826,88.0,2.3,1.0,0.435,263.0,2.258,0.0,0.0,53510.0,2.665,1.0,0.375,53431.0,24.107,9.0,0.373,36305,84.0,92.0,91.0,84.0,80.0,86.0,82.0,88.0,86.0,89.0,64.0,83.0,85.0,87.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0
11874.0,11.594,9.0,0.776,15119.0,15.445,8.0,0.518,386.0,9.752,3.0,0.308,434.0,3.402,2.0,0.588,109719.0,7.728,4.0,0.518,93535.0,88.396,35.0,0.396,35205,86.0,92.0,93.0,87.0,81.0,89.0,84.0,90.0,86.0,92.0,,,,,,0.0,1.0,1.0,0.0,0.0,1.0
152.0,0.101,0.0,,418.0,0.249,1.0,,,,,,,,,,3601.0,0.103,0.0,,3601.0,1.159,2.0,1.726,35042,,,,,,,,,,,,,,,,,,,,,0.0
647.0,0.398,0.0,,1485.0,0.812,1.0,,4.0,0.089,0.0,,16.0,0.182,0.0,,12249.0,0.402,0.0,,11900.0,4.514,1.0,0.222,35768,86.0,90.0,90.0,87.0,80.0,86.0,79.0,86.0,88.0,82.0,41.0,91.0,,55.0,94.0,,,,,,0.0
196.0,0.118,0.0,,588.0,0.305,0.0,,5.0,0.14,0.0,,2.0,0.021,0.0,,4357.0,0.078,0.0,,4357.0,1.327,0.0,0.0,36340,81.0,93.0,95.0,86.0,85.0,92.0,84.0,87.0,76.0,87.0,43.0,,,71.0,57.0,,,,,,0.0
255.0,0.185,0.0,,2465.0,1.434,0.0,0.0,11.0,0.281,0.0,,3.0,0.022,0.0,,5778.0,0.186,0.0,,5778.0,2.036,0.0,0.0,35010,91.0,93.0,91.0,89.0,83.0,90.0,82.0,89.0,88.0,89.0,80.0,93.0,100.0,90.0,94.0,,0.0,,,,0.0
241.0,0.148,0.0,,833.0,0.425,0.0,,4.0,0.137,0.0,,1.0,0.007,0.0,,3604.0,0.128,0.0,,3434.0,1.366,1.0,0.732,36027,91.0,87.0,93.0,82.0,80.0,89.0,78.0,84.0,85.0,80.0,,,,,,,,,,,0.0
2572.0,1.821,3.0,1.647,5420.0,3.866,5.0,1.293,157.0,4.496,4.0,0.89,175.0,1.689,0.0,0.0,55223.0,2.523,4.0,1.585,49973.0,31.751,24.0,0.756,36207,82.0,92.0,91.0,84.0,77.0,86.0,81.0,86.0,85.0,83.0,59.0,89.0,81.0,77.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
1347.0,0.827,1.0,,3370.0,1.796,3.0,1.67,41.0,1.108,0.0,0.0,45.0,0.487,1.0,,16233.0,0.829,0.0,,15407.0,24.591,19.0,0.773,35611,87.0,93.0,92.0,86.0,77.0,85.0,82.0,89.0,87.0,89.0,75.0,94.0,91.0,81.0,99.0,,0.0,0.0,,,0.0
2212.0,1.905,0.0,0.0,3681.0,3.292,1.0,0.304,35.0,0.854,0.0,,2.0,0.016,0.0,,24719.0,1.727,3.0,1.737,24719.0,17.752,6.0,0.338,36535,91.0,94.0,92.0,89.0,82.0,85.0,83.0,91.0,88.0,89.0,78.0,92.0,65.0,90.0,96.0,0.0,0.0,,,0.0,1.0
4029.0,3.244,6.0,1.85,10286.0,8.714,5.0,0.574,147.0,3.908,1.0,0.256,29.0,0.202,0.0,,45435.0,2.783,3.0,1.078,45435.0,19.081,15.0,0.786,35601,89.0,92.0,92.0,83.0,77.0,86.0,81.0,86.0,83.0,84.0,36.0,65.0,,69.0,78.0,0.0,0.0,0.0,,0.0,0.0
195.0,0.113,0.0,,621.0,0.306,0.0,,,,,,,,,,3389.0,0.116,0.0,,3389.0,1.909,2.0,1.048,35594,86.0,92.0,95.0,91.0,81.0,93.0,83.0,87.0,87.0,88.0,,,,,,,,,,,0.0
8486.0,11.056,8.0,0.724,7959.0,15.464,5.0,0.323,252.0,7.889,2.0,0.254,69.0,0.727,3.0,,61242.0,4.472,2.0,0.447,61242.0,38.097,20.0,0.525,36617,83.0,90.0,91.0,84.0,81.0,85.0,81.0,87.0,82.0,88.0,49.0,87.0,,66.0,87.0,0.0,1.0,1.0,,0.0,1.0
1710.0,1.324,1.0,0.755,4204.0,3.487,1.0,0.287,31.0,0.848,0.0,,75.0,0.675,0.0,,23295.0,1.07,1.0,0.935,23295.0,13.899,3.0,0.216,35502,83.0,91.0,92.0,87.0,80.0,87.0,83.0,89.0,84.0,87.0,78.0,94.0,94.0,87.0,97.0,0.0,0.0,,,0.0,1.0
6278.0,5.26,3.0,0.57,7955.0,9.534,0.0,0.0,119.0,3.091,1.0,0.324,165.0,1.456,0.0,0.0,72650.0,4.973,2.0,0.402,69521.0,50.285,29.0,0.577,36608,89.0,90.0,92.0,89.0,79.0,87.0,82.0,88.0,82.0,89.0,84.0,96.0,97.0,91.0,96.0,0.0,1.0,0.0,0.0,0.0,1.0
28954.0,30.904,20.0,0.647,27531.0,36.828,31.0,0.842,290.0,8.426,5.0,0.593,372.0,3.674,5.0,1.361,159531.0,7.97,14.0,1.757,138663.0,92.52,67.0,0.724,35401,80.0,89.0,91.0,80.0,73.0,83.0,78.0,84.0,84.0,83.0,58.0,89.0,88.0,73.0,80.0,1.0,0.0,0.0,0.0,0.0,1.0
296.0,0.179,1.0,,873.0,0.483,0.0,,25.0,0.709,1.0,,29.0,0.283,0.0,,6527.0,0.215,0.0,,5804.0,2.123,1.0,0.471,36426,91.0,92.0,93.0,90.0,79.0,84.0,81.0,88.0,88.0,86.0,52.0,69.0,,91.0,96.0,,,,,,0.0
5571.0,3.887,2.0,0.515,6487.0,5.027,3.0,0.597,117.0,2.993,3.0,1.002,214.0,1.627,0.0,0.0,44636.0,1.573,2.0,1.271,40651.0,16.289,6.0,0.368,36532,86.0,92.0,91.0,88.0,80.0,90.0,82.0,90.0,85.0,91.0,86.0,94.0,100.0,91.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0
