Facility ID,HAI_1_CILOWER,HAI_1_CIUPPER,HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_CILOWER,HAI_2_CIUPPER,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_CILOWER,HAI_3_CIUPPER,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_CILOWER,HAI_4_CIUPPER,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_CILOWER,HAI_5_CIUPPER,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_CILOWER,HAI_6_CIUPPER,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,HAI_1_SIR_ComparedToNational,HAI_2_SIR_ComparedToNational,HAI_3_SIR_ComparedToNational,HAI_4_SIR_ComparedToNational,HAI_5_SIR_ComparedToNational,HAI_6_SIR_ComparedToNational,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Location,H_CLEAN_STAR_RATING,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_HSP_RATING_STAR_RATING,H_QUIET_STAR_RATING,H_RECMND_STAR_RATING,H_STAR_RATING,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR
010001,0.301,1.543,7846.0,8.086,6.0,0.742,0.131,0.675,13268.0,18.498,6.0,0.324,0.165,1.769,165.0,4.615,3.0,0.65,,1.59,216.0,1.884,0.0,0.0,0.174,1.321,102765.0,7.305,4.0,0.548,0.391,0.722,102765.0,76.294,41.0,0.537,No Different than National Benchmark,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,Better than the National Benchmark,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,POINT (-85.361725 31.214058),3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,87.0,90.0,91.0,84.0,80.0,90.0,82.0,88.0,86.0,90.0,60.0,88.0,,77.0,92.0
010005,,1.507,3088.0,1.988,0.0,0.0,0.393,2.378,7928.0,4.66,5.0,1.073,0.025,2.504,74.0,1.97,1.0,0.508,,,31.0,0.244,0.0,,0.493,5.274,40143.0,1.548,3.0,1.938,0.247,1.118,37697.0,12.386,7.0,0.565,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,No Different than National Benchmark,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,85.0,91.0,93.0,83.0,80.0,90.0,81.0,88.0,85.0,88.0,68.0,92.0,84.0,79.0,97.0
010006,,0.627,5874.0,4.781,0.0,0.0,0.037,0.735,10270.0,8.992,2.0,0.222,0.137,2.709,90.0,2.439,2.0,0.82,,,64.0,0.57,0.0,,0.166,1.78,64819.0,4.588,3.0,0.654,0.231,0.724,62418.0,28.161,12.0,0.426,Better than the National Benchmark,Better than the National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,Better than the National Benchmark,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 768-8400,POINT (-87.652191 34.802756),2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,86.0,90.0,92.0,78.0,76.0,84.0,80.0,86.0,87.0,87.0,33.0,76.0,,60.0,67.0
010007,,,180.0,0.11,0.0,,,,928.0,0.507,0.0,,,,7.0,0.205,0.0,,,,,,,,,,4783.0,0.099,0.0,,,1.628,4783.0,1.84,0.0,0.0,,,,,,No Different than National Benchmark,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,POINT (-86.255415 31.291971999999998),3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,88.0,91.0,92.0,86.0,83.0,90.0,83.0,88.0,88.0,88.0,98.0,98.0,,100.0,100.0
010011,0.154,0.933,11015.0,11.88,5.0,0.421,0.291,1.097,11694.0,15.062,9.0,0.598,0.296,2.243,158.0,4.301,4.0,0.93,,,65.0,0.604,1.0,,0.448,1.831,82573.0,8.297,8.0,0.964,0.245,0.468,82573.0,107.744,37.0,0.343,Better than the National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,Better than the National Benchmark,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,POINT (-86.665182 33.595351),2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,84.0,90.0,92.0,86.0,79.0,88.0,82.0,88.0,83.0,87.0,,,,,
010012,,,678.0,0.478,0.0,,,1.591,2729.0,1.883,0.0,0.0,,,8.0,0.194,1.0,,,,29.0,0.298,0.0,,,,14041.0,0.446,0.0,,0.01,0.955,14041.0,5.166,1.0,0.194,,No Different than National Benchmark,,,,Better than the National Benchmark,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,89.0,88.0,91.0,82.0,73.0,85.0,77.0,82.0,84.0,78.0,88.0,95.0,,92.0,99.0
010016,0.009,0.897,6693.0,5.499,1.0,0.182,0.091,0.972,9486.0,8.402,3.0,0.357,,0.694,156.0,4.318,0.0,0.0,,,69.0,0.655,0.0,,0.017,1.664,44995.0,2.964,1.0,0.337,0.246,0.864,44995.0,20.625,10.0,0.485,Better than the National Benchmark,Better than the National Benchmark,Better than the National Benchmark,,No Different than National Benchmark,Better than the National Benchmark,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,POINT (-86.814261 33.253679),2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,84.0,89.0,91.0,84.0,78.0,86.0,81.0,87.0,82.0,87.0,74.0,93.0,95.0,82.0,97.0
010019,0.661,7.069,1669.0,1.155,3.0,2.597,0.014,1.418,4912.0,3.478,1.0,0.288,,2.376,48.0,1.261,0.0,0.0,,,43.0,0.357,0.0,,0.215,4.23,28907.0,1.562,2.0,1.28,0.268,1.211,26660.0,11.43,7.0,0.612,No Different than National Benchmark,No Different than National Benchmark,No Different than National Benchmark,,No Different than National Benchmark,No Different than National Benchmark,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,POINT (-87.698866 34.74824900000001),3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,87.0,93.0,94.0,84.0,82.0,86.0,82.0,90.0,87.0,91.0,82.0,93.0,95.0,92.0,97.0
010021,,,453.0,0.282,0.0,,,,547.0,0.29,0.0,,,,10.0,0.253,1.0,,,,,,,,,,7887.0,0.178,0.0,,0.022,2.203,7311.0,2.239,1.0,0.447,,,,,,No Different than National Benchmark,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,POINT (-85.630966 31.451345000000003),3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,90.0,92.0,93.0,90.0,81.0,85.0,83.0,90.0,87.0,84.0,,,,,
010022,,,36.0,0.021,0.0,,,,135.0,0.066,0.0,,,,,,,,,,,,,,,,3761.0,0.088,0.0,,,2.878,3761.0,1.041,0.0,0.0,,,,,,No Different than National Benchmark,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,POINT (-85.65142 34.162761),,,,,,,,,,,,,,,,,,,,,,,,,,
